"TEAM_ABBREVIATION","START_POSITION","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS"
1,2,7.85,5,19,0.263,2,6,0.333,5,5,1,1,9,7,1,0,7,3,17,-17
1,2,12.93,10,20,0.5,0,5,0,9,11,0.818,0,5,8,2,2,4,1,29,7
1,2,16.03,9,16,0.563,2,8,0.25,10,18,0.556,0,4,8,0,0,4,1,30,-9
1,2,10.63,8,16,0.5,4,7,0.571,4,5,0.8,0,4,3,1,3,2,3,24,22
1,2,13.55,9,15,0.6,3,5,0.6,4,6,0.667,0,1,11,0,1,5,1,25,8
1,2,15.93,7,18,0.389,2,4,0.5,6,8,0.75,1,3,9,2,0,4,4,22,-5
1,2,5.03,8,16,0.5,0,2,0,5,7,0.714,0,3,2,2,0,2,0,21,-18
1,2,16.3,11,19,0.579,2,3,0.667,3,4,0.75,0,7,14,1,3,5,2,27,16
1,2,13.62,17,24,0.708,2,2,1,5,8,0.625,0,5,5,0,1,2,1,41,-3
1,2,17.88,12,21,0.571,2,5,0.4,9,9,1,1,1,4,2,2,2,1,35,7
1,2,9.9,8,17,0.471,1,3,0.333,1,2,0.5,0,4,7,3,0,3,2,18,20
1,2,18.45,9,18,0.5,2,4,0.5,4,6,0.667,0,7,13,3,1,4,2,24,11
1,2,15.52,7,17,0.412,1,6,0.167,4,7,0.571,1,4,12,2,0,4,2,19,12
1,2,17.08,6,15,0.4,0,4,0,14,21,0.667,1,4,10,0,0,7,1,26,16
1,2,7.73,9,18,0.5,0,1,0,1,2,0.5,0,2,7,1,0,3,1,19,14
1,2,12.08,7,14,0.5,1,5,0.2,14,17,0.824,1,9,8,3,0,4,3,29,24
1,2,7,9,17,0.529,2,4,0.5,9,11,0.818,1,3,11,3,0,1,0,29,19
1,2,13.28,6,12,0.5,1,4,0.25,2,3,0.667,0,1,10,1,1,5,2,15,-8
1,2,15.03,8,21,0.381,2,7,0.286,4,7,0.571,3,1,4,1,1,3,0,22,-13
1,2,10.1,6,17,0.353,2,3,0.667,1,1,1,3,3,9,1,1,5,3,15,-3
1,2,16.57,8,18,0.444,1,4,0.25,5,7,0.714,0,9,5,0,2,4,2,22,-13
1,2,4.9,13,20,0.65,4,5,0.8,2,4,0.5,2,4,7,0,1,3,1,32,14
